subID,domEyeR,threshStHi,threshStLo,thresh,Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST
49,0,0.93302,0.88258,0.9078,1,19,112,0,1,1,1,1,1,1.3604
49,0,0.93302,0.88258,0.9078,2,12,122,1,1,1,1,1,1,1.0158
49,0,0.93302,0.88258,0.9078,3,29,93,1,1,1,1,1,1,1.7106
49,0,0.93302,0.88258,0.9078,4,15,121,0,1,1,1,1,1,1.1417
49,0,0.93302,0.88258,0.9078,5,11,123,1,1,1,1,1,1,1.5273
49,0,0.93302,0.88258,0.9078,6,30,97,0,1,1,1,1,1,1.111
49,0,0.93302,0.88258,0.9078,7,16,111,0,0,1,1,1,1,1.439
49,0,0.93302,0.88258,0.9078,8,30,97,0,1,1,1,1,1,1.4923
49,0,0.93302,0.88258,0.9078,9,21,109,0,0,1,1,1,1,1.2204
49,0,0.93302,0.88258,0.9078,10,31,0,1,1,1,1,0,0,5.0078
49,0,0.93302,0.88258,0.9078,11,14,121,1,0,0,0,1,1,1.8306
49,0,0.93302,0.88258,0.9078,12,31,0,1,1,1,1,0,0,5.004
49,0,0.93302,0.88258,0.9078,13,10,128,0,0,1,1,1,1,1.0823
49,0,0.93302,0.88258,0.9078,14,4,128,1,1,0,0,1,1,2.6994
49,0,0.93302,0.88258,0.9078,15,31,0,1,1,1,1,0,0,5.0115
49,0,0.93302,0.88258,0.9078,16,13,118,1,1,1,1,1,1,1.2815
49,0,0.93302,0.88258,0.9078,17,28,100,0,1,1,1,1,1,2.6772
49,0,0.93302,0.88258,0.9078,18,9,125,1,1,0,0,1,1,2.2674
49,0,0.93302,0.88258,0.9078,19,16,128,1,1,1,1,1,1,1.1513
49,0,0.93302,0.88258,0.9078,20,6,129,0,0,1,1,1,1,1.4638
49,0,0.93302,0.88258,0.9078,21,17,113,1,0,1,1,1,1,1.2775
49,0,0.93302,0.88258,0.9078,22,22,111,1,0,1,1,1,1,2.2978
49,0,0.93302,0.88258,0.9078,23,9,125,1,0,1,1,1,1,1.14
49,0,0.93302,0.88258,0.9078,24,17,121,0,1,1,1,1,1,1.1203
49,0,0.93302,0.88258,0.9078,25,1,134,1,1,1,1,1,1,1.193
49,0,0.93302,0.88258,0.9078,26,6,129,0,1,1,1,1,1,1.1573
49,0,0.93302,0.88258,0.9078,27,14,121,1,1,1,1,1,1,1.4985
49,0,0.93302,0.88258,0.9078,28,4,125,0,0,1,1,1,1,1.2108
49,0,0.93302,0.88258,0.9078,29,21,114,1,1,0,0,1,1,1.3302
49,0,0.93302,0.88258,0.9078,30,25,111,0,0,1,1,1,1,1.1678
49,0,0.93302,0.88258,0.9078,31,1,136,0,0,1,1,1,1,1.1915
49,0,0.93302,0.88258,0.9078,32,10,128,0,0,1,1,1,1,1.404
49,0,0.93302,0.88258,0.9078,33,22,115,0,1,0,0,1,1,2.3815
49,0,0.93302,0.88258,0.9078,34,31,0,1,1,1,1,0,0,5.0078
49,0,0.93302,0.88258,0.9078,35,25,106,1,1,1,1,1,1,1.9691
49,0,0.93302,0.88258,0.9078,36,20,110,1,0,0,0,1,1,1.1504
49,0,0.93302,0.88258,0.9078,37,5,129,0,1,1,1,1,1,1.2907
49,0,0.93302,0.88258,0.9078,38,30,97,0,0,1,1,1,1,1.4398
49,0,0.93302,0.88258,0.9078,39,7,128,0,0,1,1,1,1,1.1055
49,0,0.93302,0.88258,0.9078,40,13,118,1,0,0,0,1,1,1.6659
49,0,0.93302,0.88258,0.9078,41,4,125,0,1,1,1,1,1,1.5964
49,0,0.93302,0.88258,0.9078,42,23,109,1,1,0,0,1,1,1.3619
49,0,0.93302,0.88258,0.9078,43,31,0,1,1,1,1,0,0,5.0043
49,0,0.93302,0.88258,0.9078,44,19,115,1,0,1,1,1,1,1.1068
49,0,0.93302,0.88258,0.9078,45,23,103,0,1,0,0,1,1,2.1826
49,0,0.93302,0.88258,0.9078,46,27,104,0,0,0,0,1,1,1.6412
49,0,0.93302,0.88258,0.9078,47,25,106,1,0,1,1,1,1,1.3265
49,0,0.93302,0.88258,0.9078,48,4,125,0,0,0,0,1,1,1.8839
49,0,0.93302,0.88258,0.9078,49,13,118,0,1,1,1,1,1,1.9863
49,0,0.93302,0.88258,0.9078,50,4,128,1,0,1,1,1,1,1.3928
49,0,0.93302,0.88258,0.9078,51,31,0,1,1,1,1,0,0,5.0016
49,0,0.93302,0.88258,0.9078,52,15,116,1,0,0,0,1,1,1.1907
49,0,0.93302,0.88258,0.9078,53,27,104,0,1,1,1,1,1,1.1683
49,0,0.93302,0.88258,0.9078,54,25,111,0,1,1,1,1,1,1.1949
49,0,0.93302,0.88258,0.9078,55,28,100,0,1,1,1,1,1,1.3133
49,0,0.93302,0.88258,0.9078,56,14,115,0,1,0,0,1,1,1.2087
49,0,0.93302,0.88258,0.9078,57,2,133,0,0,1,1,1,1,1.1501
49,0,0.93302,0.88258,0.9078,58,7,127,1,0,1,1,1,1,1.2867
49,0,0.93302,0.88258,0.9078,59,23,103,0,0,0,0,1,1,1.6542
49,0,0.93302,0.88258,0.9078,60,31,0,1,1,1,1,0,0,5.0028
49,0,0.93302,0.88258,0.9078,61,11,123,1,1,1,1,1,1,1.4187
49,0,0.93302,0.88258,0.9078,62,12,117,0,0,1,1,1,1,1.0731
49,0,0.93302,0.88258,0.9078,63,30,97,0,0,1,1,1,1,1.2269
49,0,0.93302,0.88258,0.9078,64,24,110,0,0,1,1,1,1,1.5194
49,0,0.93302,0.88258,0.9078,65,28,108,1,0,1,1,1,1,1.4408
49,0,0.93302,0.88258,0.9078,66,23,109,1,0,0,0,1,1,1.9184
49,0,0.93302,0.88258,0.9078,67,15,121,0,0,1,1,1,1,1.4407
49,0,0.93302,0.88258,0.9078,68,27,106,1,1,1,1,1,1,1.7054
49,0,0.93302,0.88258,0.9078,69,14,121,1,0,1,1,1,1,1.4417
49,0,0.93302,0.88258,0.9078,70,16,128,1,0,1,1,1,1,1.9078
49,0,0.93302,0.88258,0.9078,71,13,118,0,0,1,1,1,1,1.0945
49,0,0.93302,0.88258,0.9078,72,31,0,1,1,1,1,0,0,5.009
49,0,0.93302,0.88258,0.9078,73,16,111,0,0,0,0,1,1,2.6633
49,0,0.93302,0.88258,0.9078,74,15,121,0,0,0,0,1,1,2.4709
49,0,0.93302,0.88258,0.9078,75,23,109,1,0,1,1,1,1,1.2642
49,0,0.93302,0.88258,0.9078,76,28,108,1,1,1,1,1,1,1.6788
49,0,0.93302,0.88258,0.9078,77,21,114,1,1,1,1,1,1,1.4647
49,0,0.93302,0.88258,0.9078,78,20,115,0,0,0,0,1,1,2.9129
49,0,0.93302,0.88258,0.9078,79,8,129,1,1,1,1,1,1,1.1719
49,0,0.93302,0.88258,0.9078,80,24,110,0,0,0,0,1,1,2.909
49,0,0.93302,0.88258,0.9078,81,7,127,1,0,0,0,1,1,2.1199
49,0,0.93302,0.88258,0.9078,82,8,128,0,1,1,1,1,1,1.1606
