subID,domEyeR,threshStHi,threshStLo,thresh,Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST
32,1,0.26495,0.22929,0.24712,1,15,116,1,0,0,1,1,1,1.5072
32,1,0.26495,0.22929,0.24712,2,19,115,1,0,1,0,1,1,1.8624
32,1,0.26495,0.22929,0.24712,3,27,106,1,0,0,1,1,1,2.0135
32,1,0.26495,0.22929,0.24712,4,27,106,1,1,1,0,1,1,2.3499
32,1,0.26495,0.22929,0.24712,5,25,111,0,0,0,1,1,1,1.5806
32,1,0.26495,0.22929,0.24712,6,30,96,1,0,0,1,1,1,1.6012
32,1,0.26495,0.22929,0.24712,7,18,111,1,0,0,1,1,1,1.2251
32,1,0.26495,0.22929,0.24712,8,13,118,0,0,0,1,1,1,1.3634
32,1,0.26495,0.22929,0.24712,9,7,128,0,0,1,0,1,1,2.136
32,1,0.26495,0.22929,0.24712,10,18,117,0,0,0,1,1,1,1.1671
32,1,0.26495,0.22929,0.24712,11,22,111,1,1,1,0,1,1,1.3058
32,1,0.26495,0.22929,0.24712,12,4,125,0,0,1,0,1,1,2.3704
32,1,0.26495,0.22929,0.24712,13,29,93,1,0,0,1,1,1,1.1297
32,1,0.26495,0.22929,0.24712,14,24,110,0,1,1,0,1,1,2.469
32,1,0.26495,0.22929,0.24712,15,30,96,1,1,1,0,1,1,1.5422
32,1,0.26495,0.22929,0.24712,16,26,106,1,1,0,1,1,1,1.1478
32,1,0.26495,0.22929,0.24712,17,26,105,0,0,0,1,1,1,1.297
32,1,0.26495,0.22929,0.24712,18,19,115,1,1,0,1,1,1,1.2538
32,1,0.26495,0.22929,0.24712,20,24,110,0,1,0,1,1,1,1.1964
32,1,0.26495,0.22929,0.24712,21,14,115,0,1,0,1,1,1,1.3191
32,1,0.26495,0.22929,0.24712,22,6,129,0,1,1,0,1,1,1.9278
32,1,0.26495,0.22929,0.24712,23,26,106,1,0,0,1,1,1,1.1035
32,1,0.26495,0.22929,0.24712,24,9,125,1,0,0,1,1,1,1.18
32,1,0.26495,0.22929,0.24712,25,19,115,1,0,0,1,1,1,1.2466
32,1,0.26495,0.22929,0.24712,27,16,128,1,1,1,0,1,1,1.4956
32,1,0.26495,0.22929,0.24712,28,22,115,0,1,0,1,1,1,1.1184
32,1,0.26495,0.22929,0.24712,29,11,123,1,1,0,1,1,1,1.7213
32,1,0.26495,0.22929,0.24712,30,13,118,1,0,0,1,1,1,1.7166
32,1,0.26495,0.22929,0.24712,31,9,129,0,0,0,1,1,1,1.2679
32,1,0.26495,0.22929,0.24712,32,24,110,0,0,0,1,1,1,1.343
32,1,0.26495,0.22929,0.24712,36,25,111,0,0,1,0,1,1,2.2157
32,1,0.26495,0.22929,0.24712,37,28,100,0,0,0,1,1,1,1.4585
32,1,0.26495,0.22929,0.24712,38,9,125,1,1,0,1,1,1,1.4098
32,1,0.26495,0.22929,0.24712,41,25,106,1,0,0,1,1,1,1.3705
32,1,0.26495,0.22929,0.24712,42,7,128,0,1,0,1,1,1,1.4924
32,1,0.26495,0.22929,0.24712,43,30,97,0,0,1,0,1,1,1.5578
32,1,0.26495,0.22929,0.24712,44,22,111,1,0,0,1,1,1,1.5227
32,1,0.26495,0.22929,0.24712,45,20,110,1,1,0,1,1,1,1.2889
32,1,0.26495,0.22929,0.24712,46,8,128,0,0,0,1,1,1,1.2545
32,1,0.26495,0.22929,0.24712,47,14,115,0,0,1,0,1,1,1.6391
32,1,0.26495,0.22929,0.24712,48,23,109,1,0,0,1,1,1,1.2128
32,1,0.26495,0.22929,0.24712,50,5,133,1,0,0,1,1,1,1.1913
32,1,0.26495,0.22929,0.24712,51,25,106,1,1,0,1,1,1,1.3666
32,1,0.26495,0.22929,0.24712,54,29,102,0,0,1,0,1,1,1.5366
32,1,0.26495,0.22929,0.24712,55,17,113,1,1,0,1,1,1,1.3968
32,1,0.26495,0.22929,0.24712,56,17,121,0,1,1,0,1,1,2.0041
32,1,0.26495,0.22929,0.24712,57,26,106,1,0,1,0,1,1,2.0583
32,1,0.26495,0.22929,0.24712,58,15,121,0,0,0,1,1,1,1.3128
32,1,0.26495,0.22929,0.24712,59,6,129,1,0,0,1,1,1,1.2229
32,1,0.26495,0.22929,0.24712,60,12,122,1,0,0,1,1,1,1.4579
32,1,0.26495,0.22929,0.24712,61,16,111,0,1,0,1,1,1,1.8374
